순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
1,국내도서,여행의 이유 (개정증보판),337633173 ,9791191114591 ,3810,김영하 지음,복복서가,20240417,"16,800","15,120",840점,19260,에세이
2,국내도서,공부머리 독서법,141315812 ,9791196316808 ,3370,최승필 지음,책구루,20180503,"16,500","14,850",820점,45917,좋은부모
3,국내도서,오늘도 펭수 내일도 펭수,219573015 ,9791130627366 ,2810,EBS.펭수 지음,놀(다산북스),20191219,"17,000","15,300",850점,25201,에세이
4,국내도서,해커스 토익 기출 VOCA (보카),176021392 ,9788965422785 ,13740,David Cho 지음,해커스어학연구소(Hackers),20240819,"12,900","11,610",640점,219881,외국어
5,국내도서,아주 작은 습관의 힘,182285146 ,9791162540640 ,3190,"제임스 클리어 지음, 이한이 옮김",비즈니스북스,20190226,"16,000","14,400",800점,65450,자기계발
6,국내도서,숨,191025997 ,9791164050277 ,3840,"테드 창 지음, 김상훈 옮김",엘리,20190520,"18,500","16,650",920점,23958,소설/시/희곡
7,국내도서,유럽 도시 기행 1,196542784 ,9788965135586 ,3900,유시민 지음,생각의길,20190709,"16,500","14,850",820점,20575,인문학
8,국내도서,"박막례, 이대로 죽을 순 없다",192372285 ,9791190065672 ,3810,박막례.김유라 지음,위즈덤하우스,20190603,"14,800","13,320",740점,13764,에세이
9,국내도서,2019 제10회 젊은작가상 수상작품집,187789500 ,9788954655811 ,3810,박상영 외 지음,문학동네,20190405,"13,000","11,700",650점,12420,소설/시/희곡
10,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol.1 Reading,175769967 ,9788917230567 ,14740,ETS 엮음,(주)YBM(와이비엠),20181217,"17,800","16,020",890점,32993,외국어
11,국내도서,연의 편지,192219111 ,9791196155711 ,7650,조현아 지음,손봄북스,20190527,"16,500","14,850",820점,17249,만화
12,국내도서,팩트풀니스 (50만 부 뉴에디션),345384332 ,9788934933878 ,3300,"한스 로슬링.올라 로슬링.안나 로슬링 뢴룬드 지음, 이창신 옮김",김영사,20240901,"23,800","21,420","1,190점",9618,인문학
13,국내도서,82년생 김지영,94764887 ,9788937473135 ,4810,조남주 지음,민음사,20161014,"14,000","12,600",700점,94850,소설/시/희곡
14,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol.1 Listening,175766460 ,9788917230550 ,14740,ETS 엮음,(주)YBM(와이비엠),20181217,"17,800","16,020",890점,28848,외국어
15,국내도서,사피엔스 (무선본),56868780 ,9788934972464 ,3900,"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,20151123,"22,000","19,800","1,100점",78870,인문학
16,국내도서,흔한남매 2,203980453 ,9791164132454 ,77810,"흔한남매 원작, 백난도 글, 유난희 그림, 샌드박스 네트워크 감수",미래엔아이세움,20190905,"11,000","9,900",550점,19708,어린이
17,국내도서,흔한남매 1,194046110 ,9791164131686 ,77810,"흔한남매 원작, 백난도 글, 유난희 그림, 샌드박스 네트워크 감수",미래엔아이세움,20190620,"11,000","9,900",550점,19518,어린이
18,국내도서,트렌드 코리아 2020,210946331 ,9788959896127 ,13320,김난도 외 지음,미래의창,20191024,"18,000","16,200",900점,15171,경제경영
19,국내도서,50대 사건으로 보는 돈의 역사,189617899 ,9791135422225 ,3320,홍춘욱 지음,로크미디어,20190424,"17,800","16,020",890점,13037,경제경영
20,국내도서,철학은 어떻게 삶의 무기가 되는가,179428940 ,9791130620459 ,3100,"야마구치 슈 지음, 김윤경 옮김",다산초당,20190122,"16,000","14,400",800점,16861,인문학
21,국내도서,내 어머니 이야기 세트 - 전4권,243529596 ,9788954672429 ,7810,김은성 지음,문학동네,20200615,"62,000","55,800","3,100점",1267,만화
22,국내도서,잊기 좋은 이름,194834950 ,9791170400011 ,3810,김애란 지음,열림원,20190705,"16,000","14,400",800점,9940,에세이
23,국내도서,해커스 토익 RC Reading(리딩) 기본서,306403048 ,9788965424765 ,13740,David Cho 지음,해커스어학연구소(Hackers),20240819,"18,800","16,920",940점,62249,외국어
24,국내도서,설민석의 한국사 대모험 9,309889124 ,9791191496819 ,74910,"설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수",단꿈아이,20230125,"13,000","11,700",650점,11748,어린이
25,국내도서,"1일 1페이지, 세상에서 가장 짧은 교양 수업 365",214116947 ,9791190305679 ,3030,"데이비드 키더.노아 D. 오펜하임 지음, 허성심 옮김",위즈덤하우스,20191030,"16,000","14,400",800점,18781,인문학
26,국내도서,천년의 질문 1,193861163 ,9788965746829 ,4810,조정래 지음,해냄,20190611,"18,500","16,650",920점,8925,소설/시/희곡
27,국내도서,해커스 토익 실전 1000제 1 RC Reading(리딩) 문제집,306666773 ,9788965425052 ,13740,해커스어학연구소 지음,해커스어학연구소(Hackers),20240812,"11,900","10,710",590점,22234,외국어
28,국내도서,꽃을 보듯 너를 본다,62163905 ,9791157280292 ,3810,나태주 지음,지혜,20150620,"13,000","11,700",650점,67904,소설/시/희곡
29,국내도서,"진이, 지니",192375095 ,9791189982140 ,3810,정유정 지음,은행나무,20190527,"14,000","12,600",700점,10721,소설/시/희곡
30,국내도서,코스모스,870950 ,9788983711892 ,3400,"칼 세이건 지음, 홍승수 옮김",사이언스북스,20061220,"19,900","17,910",990점,140845,과학
31,국내도서,설민석의 한국사 대모험 10,354755024 ,9791191496826 ,74910,"설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수",단꿈아이,20230125,"13,000","11,700",650점,359,어린이
32,국내도서,빨강 머리 앤 (양장),323270511 ,9791164457854 ,3840,"루시 모드 몽고메리 지음, 박혜원 옮김",더모던,20230725,"22,000","19,800","1,100점",1768,소설/시/희곡
33,국내도서,에이트,212657645 ,9791188388905 ,3320,이지성 지음,차이정원,20191021,"19,000","17,100",950점,18581,자기계발
34,국내도서,천년의 질문 2,193861219 ,9788965746836 ,4810,조정래 지음,해냄,20190611,"18,500","16,650",920점,8289,소설/시/희곡
35,국내도서,설민석의 삼국지 1,196255011 ,9788933870792 ,4000,설민석 지음,세계사,20190717,"23,000","20,700","1,150점",17799,역사
36,국내도서,반일 종족주의,196011564 ,9788970873268 ,3910,이영훈 외 지음,미래사,20190710,"20,000","18,000","1,000점",9323,역사
37,국내도서,"걷는 사람, 하정우",174495561 ,9788954653817 ,3810,하정우 지음,문학동네,20181123,"15,500","13,950",770점,15148,에세이
38,국내도서,인어가 잠든 집,183610440 ,9788990982773 ,3830,"히가시노 게이고 지음, 김난주 옮김",재인,20190228,"21,800","19,620","1,090점",10327,소설/시/희곡
39,국내도서,천년의 질문 3,193861229 ,9788965746843 ,4810,조정래 지음,해냄,20190611,"18,500","16,650",920점,8273,소설/시/희곡
